time phi1_2 psi1_2 omega1_2 phi1_3 psi1_3
1830.0 -1.018274 2.973531 -2.915839 -1.639155 3.034826
1840.0 -1.484357 2.671378 3.061998 -0.975749 -2.457219
1850.0 -1.17381 2.563356 3.127509 -1.21706 -2.394946
1860.0 -1.076031 2.997309 3.137662 -1.261074 -2.859604
1870.0 -1.280407 2.755731 -2.943091 -1.202989 -2.955961
1880.0 -1.482743 2.906321 -3.043073 -1.31841 -2.204877
1890.0 -1.266178 -2.498114 -2.935514 -1.161569 -2.341277
1900.0 -1.235169 -2.64111 3.138771 -1.393415 -2.688868
1910.0 -1.649455 2.986702 -2.921455 -1.321635 -2.439053
1920.0 -1.080284 2.8215 -3.080958 -1.613305 -3.034777
1930.0 -1.257256 -3.115332 -3.09138 -1.459549 -3.024203
1940.0 -1.425354 -2.778311 3.011885 -1.375883 -2.896635
1950.0 -1.223282 -3.024333 -2.759901 -1.429783 -2.980692
1960.0 -1.541309 1.570976 -3.075807 -1.668647 -2.74699
1970.0 -1.456833 1.573487 -3.016031 -1.385421 -3.115459
1980.0 -1.424029 1.617266 3.004002 -1.330688 -2.895661
1990.0 -1.174128 -3.134637 -3.091495 -1.260142 -3.058365
2000.0 -1.101243 -3.099191 -2.968095 -1.419972 -2.928048
2010.0 -1.143299 -3.075504 -2.854323 -1.490207 3.050084
2020.0 -1.296478 -3.12971 1.129089 -1.259994 -2.602998
2030.0 -1.256564 3.000004 1.059957 -1.061181 -2.392524
2040.0 -1.096458 -1.262637 -1.158631 -1.163524 -2.51249
2050.0 -1.125608 -2.924114 1.01659 -1.376092 -2.550299
2060.0 -1.461249 -2.521322 1.307249 -1.36946 -2.744217
2070.0 -1.759441 1.477387 3.078952 -1.149764 -2.314917
2080.0 -1.545217 1.456805 -2.973685 -1.138962 -2.391307
2090.0 -1.423242 1.69009 -3.054322 -1.598721 3.093267
2100.0 -1.53434 3.111135 1.388201 -1.08128 -1.877785
2110.0 -0.984034 -1.003017 -1.078781 -1.11336 -2.9061
2120.0 -1.28322 3.00355 1.155856 -1.157953 -2.089079
2130.0 -1.498821 1.609454 -3.046969 -0.865506 -2.291925
2140.0 -1.407331 -3.091909 1.021619 -0.967053 -2.336102
2150.0 -1.236114 -3.128078 1.228716 -1.152974 -2.219604
2160.0 -1.252532 2.931752 1.152018 -1.127364 -1.912754
2170.0 -1.411646 2.644546 1.02854 -1.099583 -2.533474
2180.0 -1.712569 3.048206 0.949198 -1.568887 -2.685723
2190.0 -1.109809 -3.061607 -2.898942 -1.449268 3.132753
2200.0 -1.091982 2.982952 1.089042 -1.176993 -2.683795
2210.0 -1.046139 2.84624 1.056332 -1.019821 -2.621822
2220.0 -1.434676 -2.966826 -2.749537 -1.446621 -3.020723
2230.0 -1.249468 2.952089 1.127401 -0.894886 -2.524661
2240.0 -1.197968 -2.633026 1.167043 -1.025954 -2.451879
2250.0 -1.773013 3.095021 1.268474 -1.129077 -2.096976
2260.0 -1.149445 3.021355 -3.067948 -1.409076 -2.94806
2270.0 -1.218543 -3.039007 -3.044443 -1.428479 -2.62646
2280.0 -1.427396 2.934952 1.276688 -1.287295 -2.756322
2290.0 -1.372935 -3.134297 1.153506 -1.41272 -2.936288
2300.0 -1.282935 -2.887202 -2.991822 -1.251634 -2.371849
2310.0 -2.128634 1.26614 -3.093494 -1.092619 -2.39949
2320.0 -0.934176 -3.102307 -2.979193 -1.284209 -2.520298
2330.0 -1.07624 3.013831 -2.984159 -1.365489 -1.946312
2340.0 -1.225701 -3.036339 3.050486 -1.214819 -2.467861
2350.0 -1.28416 2.327275 -2.903079 -1.161164 -2.746862
2360.0 -1.044136 -3.138915 3.098655 -1.208508 -2.478053
2370.0 -1.472187 3.097683 -3.136938 -0.99681 -2.38679
2380.0 -1.347895 -3.082573 -2.989966 -0.881032 -2.275479
2390.0 -1.591583 3.008894 1.081196 -1.925005 -2.986533
2400.0 -1.404877 -2.978289 -2.798038 -0.992994 -2.331736
2410.0 -1.470948 3.021476 1.496631 -1.039729 -2.323909
2420.0 -1.039442 3.010343 -2.89422 -1.226117 -2.522518
2430.0 -1.391092 -2.807586 -3.092584 -1.453613 -2.030218
2440.0 -1.179464 -2.907752 3.071159 -1.388843 -2.412255
2450.0 -1.138683 -2.990403 -3.085451 -1.240641 -2.102737
2460.0 -1.300813 -3.059991 -2.98072 -1.26607 -2.033076
2470.0 -1.391098 -2.744517 3.044469 -1.090263 -1.93248
2480.0 -1.081702 -2.881229 -3.063464 -1.179 -1.6649
2490.0 -1.058238 -3.057715 -2.972273 -1.047496 -2.019752
2500.0 -1.566475 3.105527 -3.122554 -1.115984 -2.031356
2510.0 -1.30758 -3.09433 -3.071417 -1.28614 -2.502049
2520.0 -1.250283 -2.899606 3.097853 -1.222015 -2.619026
2530.0 -1.254006 2.792828 -3.003601 -1.331912 -1.712771
2540.0 -1.103736 -3.109993 -2.848847 -1.22971 -2.199001
2550.0 -1.183987 -3.005186 3.100907 -1.677134 3.032523
2560.0 -1.156956 3.092509 -3.039674 -1.332136 -2.835535
2570.0 -1.293494 -3.047056 -2.836899 -1.367276 3.134057
2580.0 -1.395432 2.973243 -2.858288 -1.497162 2.913161
2590.0 -1.115656 2.820686 3.114783 -1.497204 -3.062894
2600.0 -1.216701 3.094862 -3.088886 -1.555568 3.119719
2610.0 -1.11299 -2.733678 3.027615 -1.48947 2.955169
2620.0 -1.183725 -2.717029 -2.962111 -1.206842 -2.719395
2630.0 -1.205884 -3.071972 -2.933887 -1.058538 -2.604264
2640.0 -1.316249 3.121283 -2.992956 -1.536394 -2.581119
2650.0 -0.966956 -3.051432 3.061358 -1.366061 -2.618047
2660.0 -1.025033 -2.987443 3.14142 -1.362764 -2.936266
2670.0 -1.198018 -2.955326 3.081727 -1.046932 -2.434927
2680.0 -1.402366 -2.91235 -3.137477 -1.00515 -2.557931
2690.0 -1.204181 -3.108883 3.104812 -0.961213 -2.169117
2700.0 -1.222437 2.918077 -2.847318 -1.283425 -3.100027
2710.0 -1.202205 3.008662 -2.946837 -1.36824 2.891076
2720.0 -1.606811 2.936364 -3.026761 -1.263058 -2.14064
2730.0 -1.08278 3.096506 3.116706 -1.272144 -2.698146
2740.0 -1.063055 3.12023 -3.058875 -1.090117 -2.565446
2750.0 -1.385591 -2.864157 3.01495 -1.190594 -2.425358
2760.0 -1.118835 -3.019052 -3.073237 -0.839197 -2.472158
2770.0 -1.103486 -2.772573 -3.079606 -0.992411 -2.306903
2780.0 -1.354329 -2.840441 -3.047554 -0.982397 -2.383683
2790.0 -1.244236 2.986067 -2.955392 -1.178082 -2.58936
2800.0 -1.178341 -2.910569 -3.119551 -1.085161 -2.358917
2810.0 -1.369211 -3.050015 -3.07501 -1.20987 -2.703937
2820.0 -1.492144 2.929983 -2.870762 -1.375697 -2.435235
2830.0 -1.381045 -3.05039 -3.023139 -1.07605 -1.785431
2840.0 -1.309427 -3.094149 -2.915577 -1.020727 -2.327802
2850.0 -1.211318 3.106887 -3.122736 -1.102173 -2.842646
2860.0 -1.752697 -2.820869 -2.786546 -1.428681 -1.950176
2870.0 -1.171389 -2.786107 -2.997589 -1.375751 -2.896424
2880.0 -1.40542 -2.178407 3.132055 -1.429044 -2.600792
2890.0 -1.042902 -2.662549 -2.877376 -1.044481 -2.423072
2900.0 -1.028682 -2.95403 -3.084016 -1.09913 -2.73329
2910.0 -1.244897 -3.137766 -2.994125 -1.009048 -2.567538
2920.0 -0.968821 -3.036766 -3.0443 -1.293075 -2.570497
2930.0 -0.830765 -2.891022 -2.69044 -1.425591 -2.613904
2940.0 -0.963073 3.124995 -2.909877 -1.14641 -2.501485
2950.0 -1.215839 -2.985209 -2.794985 -1.296969 -2.65859
2960.0 -0.836548 -2.939888 -2.853326 -1.512516 -2.905397
2970.0 -1.182536 -3.018836 -2.74544 -1.092033 -1.999537
2980.0 -1.419544 3.047427 -2.88225 -0.771786 -2.28765
2990.0 -1.279957 -2.460471 3.002908 -1.301722 -2.246282
3000.0 -1.341046 -2.89858 2.998434 -1.277431 -2.367505
3010.0 -1.548077 -3.024433 -2.811866 -1.143113 -2.342391
3020.0 -1.307822 -2.918898 -3.010674 -1.167594 -2.730172
3030.0 -1.559301 1.526531 -3.066624 -1.591298 3.029867
3040.0 -1.619654 -2.99595 -3.085601 -1.057657 -2.270942
3050.0 -1.342889 2.937149 -3.105812 -1.041779 -2.521346
3060.0 -1.253955 -2.852876 -2.907248 -1.113685 -2.446765
3070.0 -1.432468 -3.11808 -3.003437 -1.216923 -2.454312
3080.0 -1.397358 -3.098635 -2.808428 -0.931701 -2.384686
3090.0 -1.288282 -2.751887 -3.090317 -0.952624 -2.177854
3100.0 -1.441998 -3.057071 -3.039845 -0.835277 -1.898099
3110.0 -1.596967 -3.099788 -2.997842 -1.040349 -2.369668
3120.0 -1.102972 2.989711 -3.116799 -1.140479 -2.202038
3130.0 -1.392192 -2.92434 3.067569 -0.693086 -2.514347
3140.0 -1.160556 3.061313 -2.774629 -1.155375 -2.618346
3150.0 -0.961118 -2.642789 3.122045 -1.147331 -2.703921
3160.0 -1.22634 2.992965 3.139371 -1.036822 -3.062998
3170.0 -1.197384 -2.81165 -2.720575 -1.193789 -2.640603
3180.0 -0.957038 -2.954235 -3.008031 -1.269753 -2.442585
3190.0 -1.464383 -2.987778 -2.866497 -1.435868 -2.31201
3200.0 -1.25918 3.111637 3.082288 -1.586058 -2.810051
3210.0 -1.374222 -3.136144 -3.094497 -1.533547 -2.887035
3220.0 -1.247225 3.126787 -3.06418 -1.799838 3.092326
3230.0 -1.143084 2.798169 -3.058842 -1.623265 -2.97818
3240.0 -1.006567 -3.138397 -2.917752 -1.3298 -2.732228
3250.0 -1.610365 -3.112735 -2.638161 -1.103207 -2.30087
3260.0 -1.426513 2.948171 -2.941457 -1.56422 -2.774774
3270.0 -1.268126 -3.048424 -2.963585 -1.338266 -2.42241
3280.0 -1.466049 3.049294 -2.82687 -1.424536 -2.483025
3290.0 -1.479186 3.064126 -2.900535 -1.070785 -2.715011
3300.0 -1.071814 -3.115092 -3.009369 -1.356201 -2.629995
3310.0 -1.224762 -3.099175 -3.02726 -1.078987 -2.253756
3320.0 -1.446149 -2.884786 2.947109 -1.187812 -1.957865
3330.0 -1.23762 -2.908571 2.955536 -1.149827 -2.054278
3340.0 -1.249726 -2.803483 -3.101532 -1.407416 -2.445787
3350.0 -1.438623 3.09689 -2.948786 -1.623996 -2.949292
3360.0 -1.331881 -2.786538 -3.107921 -1.542862 3.082367
3370.0 -1.131936 -2.622989 3.020554 -1.562771 -3.111999
3380.0 -1.073381 2.962977 -3.006981 -1.556673 -3.033793
3390.0 -1.317611 2.81262 -3.102307 -1.354899 3.09489
3400.0 -1.403464 -3.075583 2.93105 -1.283998 -3.081774
3410.0 -1.129036 3.00831 2.987025 -1.386013 -2.414364
3420.0 -1.022344 3.032736 3.135756 -0.90897 -2.170629
3430.0 -1.091306 -2.751192 -2.958075 -1.074328 -2.375129
3440.0 -1.242312 -2.676637 3.061421 -1.036313 -2.153662
3450.0 -0.921411 2.479901 -2.927817 -1.190553 -2.726286
3460.0 -1.254883 -2.841657 -2.859263 -1.154551 -2.447656
3470.0 -1.35279 2.966394 1.258201 -1.233967 -2.502541
3480.0 -1.634701 -3.013312 -2.927039 -1.092109 -2.280179
3490.0 -1.276432 3.090691 -3.133446 -1.259164 -2.154369
3500.0 -1.114033 3.129583 -2.882678 -1.376644 -2.110863
3510.0 -1.458931 -3.064366 -2.805283 -1.252867 -2.467454
3520.0 -1.109532 -3.059189 -2.763415 -1.154514 -2.2872
3530.0 -1.111739 2.881045 -2.776523 -1.629194 -3.00938
3540.0 -1.578318 -3.110873 -2.841571 -1.395458 -2.745472
3550.0 -1.376582 -2.891 -3.050589 -1.342829 -2.399157
3560.0 -1.262911 -2.952199 -3.023196 -1.255687 -2.585912
3570.0 -1.132304 -2.764269 -2.92302 -1.408299 -2.421735
3580.0 -1.454136 -2.712156 -3.015867 -1.165449 -2.365385
3590.0 -1.342301 -2.977639 -3.074287 -1.021987 -2.338037
3600.0 -1.177935 3.038177 -3.06824 -1.549202 3.138593
3610.0 -0.961 -2.743627 2.981624 -0.885026 -2.194775
3620.0 -0.979775 3.048557 3.107486 -1.433222 -3.045468
3630.0 -1.372108 2.943482 1.145894 -1.191716 -2.782759
3640.0 -1.425777 2.943433 1.069397 -1.525718 -3.023502
3650.0 -1.250217 -3.118611 -3.132736 -1.147857 -1.976968
3660.0 -1.165479 3.058142 0.756799 -1.140861 3.131946
3670.0 -1.114236 2.953908 3.035936 -1.013703 -2.581563
3680.0 -1.491836 -2.830038 3.091303 -0.875814 -2.267471
3690.0 -1.137257 -2.80093 3.050173 -1.207601 -1.978287
3700.0 -1.423214 3.047348 -2.875562 -1.015839 -2.736196
3710.0 -1.286605 -3.024423 -3.056769 -1.000678 -2.259513
3720.0 -1.284837 3.010783 0.796357 -1.073257 -2.347893
3730.0 -1.090735 2.964158 -3.004315 -1.563381 3.138632
3740.0 -1.377007 -3.044667 -2.983233 -1.609731 -3.051441
3750.0 -1.261364 2.699139 -2.983312 -1.699384 -3.112602
3760.0 -1.064995 2.916994 -3.091375 -1.62557 -2.994492
3770.0 -1.127333 2.883625 -2.94068 -1.728089 -3.027913
3780.0 -1.130079 2.975083 -2.80159 -1.639725 3.089701
3790.0 -1.040061 2.940602 -2.833751 -1.96555 -3.03569
3800.0 -1.162264 -3.024289 3.12572 -1.800296 3.059573
3810.0 -1.01327 -2.971713 3.130762 -1.184062 -1.977687
3820.0 -1.044598 -2.835502 -3.10037 -1.183533 -1.94566
3830.0 -1.401152 2.925477 -2.868218 -1.406522 3.127263
3840.0 -1.186824 3.111742 -2.749035 -1.453473 -2.580813
3850.0 -1.368655 -2.903852 -3.032065 -1.153772 -2.7576
3860.0 -1.265336 3.052263 -2.797052 -1.124281 -2.291536
3870.0 -1.082783 -2.908443 -3.082771 -1.294557 -2.309738
3880.0 -1.312517 -3.084073 3.009174 -1.555869 -3.108016
3890.0 -1.205782 -3.092306 -2.771874 -0.89775 -2.375087
3900.0 -1.194881 3.024088 -2.733841 -1.225032 -2.353539
3910.0 -1.38746 3.082359 -2.917516 -1.525069 -2.76932
3920.0 -1.281851 -3.043066 3.024871 -1.073666 -2.424148
3930.0 -1.235668 -3.022268 -2.804534 -1.243342 -2.31067
3940.0 -1.470911 -2.749217 -3.032622 -1.312603 -2.468501
3950.0 -1.101007 2.054529 -3.139134 -0.829655 -2.084199
3960.0 -1.252036 2.87801 1.20907 -1.129935 -2.395518
3970.0 -1.297275 -2.780154 -3.069374 -1.211823 -2.491992
3980.0 -1.106723 2.926587 1.337565 -1.192116 -2.599568
3990.0 -1.187136 3.104512 -2.727654 -1.145801 -2.228578
4000.0 -1.13453 -3.036905 -2.830764 -1.499158 -2.932771
4010.0 -1.049019 2.689337 3.060459 -1.15856 -2.477132
4020.0 -1.041888 3.11859 1.029212 -1.128077 -2.122377
4030.0 -1.219448 3.005218 1.328806 -1.107924 -2.056926
4040.0 -1.402175 2.806015 3.12977 -0.85323 -2.643789
4050.0 -1.520035 -2.977566 -3.057068 -1.374015 -2.567749
4060.0 -1.275133 -2.924186 -2.96434 -0.891701 -2.011537
4070.0 -1.272051 -3.090772 -3.004009 -1.25476 -2.718298
4080.0 -1.049891 -2.952589 -2.935754 -1.30437 -2.799516
