time phi1_2 psi1_2 omega1_2 phi1_3 psi1_3
1650.0 1.213468 -2.314397 1.212955 -1.190668 -2.489123
1660.0 1.0506 -2.746268 1.196366 -0.999326 -2.623053
1670.0 1.164688 -2.932761 -2.912121 -0.873207 -2.360568
1680.0 1.259542 -2.84401 1.138257 -0.99692 -2.471561
1690.0 1.240375 -2.626491 1.207996 -1.227024 -2.322083
1700.0 0.837573 -1.809574 -0.987599 -1.102119 -2.095795
1710.0 0.960933 -2.673945 -3.057992 -0.914707 -2.426499
1720.0 1.078938 -2.964703 1.106823 -0.795646 -2.469285
1730.0 1.041588 -2.368046 1.071175 -1.003142 -2.240016
1740.0 1.116858 -2.562989 1.107808 -1.219635 -2.458889
1750.0 0.906737 -2.145502 1.228569 -0.841696 -2.394372
1760.0 1.041648 -2.258872 1.186775 -0.957424 -2.3058
1770.0 0.990874 -3.084639 -1.103535 -0.842302 -2.762053
1780.0 1.081895 -2.8742 -2.681658 -1.24292 -2.360111
1790.0 1.060871 -2.220813 1.325589 -1.091243 -2.620841
1800.0 1.127206 -2.314058 1.198358 -0.760064 -2.384526
1810.0 1.18046 -2.663239 1.256263 -1.381625 -2.374738
1820.0 0.979707 -3.094832 1.344846 -0.949569 -2.232086
1830.0 1.01829 -2.911568 1.31772 -1.29187 -2.852221
1840.0 1.086943 -2.755264 1.270198 -1.222006 -3.094795
1850.0 1.084441 -2.798225 1.05906 -1.293136 -2.430603
1860.0 1.202449 -2.925217 -2.89157 -0.909228 -2.181208
1870.0 1.29285 -2.526209 1.018511 -1.241311 -2.551407
1880.0 1.260406 -2.826637 -2.90507 -1.173874 -2.016467
1890.0 1.041526 3.054773 -2.766619 -1.169852 -2.345694
1900.0 0.854049 2.56928 -3.11097 -1.227362 -2.689787
1910.0 0.529249 3.033298 1.172063 -1.508936 3.092363
1920.0 0.976339 3.125611 -3.081216 -1.035824 -2.359702
1930.0 1.080282 -2.940365 1.199277 -1.066049 -1.911623
1940.0 1.063353 -3.083939 3.078335 -0.825169 -2.022588
1950.0 1.320619 -3.061287 1.19985 -1.123654 -1.866756
1960.0 0.836178 -3.122023 -2.921615 -1.323671 -1.861229
1970.0 1.0585 -2.721634 -3.053824 -1.117082 -2.256603
1980.0 0.983069 3.139411 -2.687518 -1.086399 -2.255251
1990.0 0.985264 -3.058194 -3.008262 -1.073325 -2.59879
2000.0 1.004454 -2.906786 -2.631029 -1.449897 -2.764334
2010.0 1.204455 2.799404 -2.767234 -1.564767 -2.641013
2020.0 0.927597 1.990758 -2.705919 -1.830424 -2.894169
2030.0 1.070011 2.025738 -2.987586 -1.602888 -3.070371
2040.0 0.94069 2.228764 3.078966 -1.562631 3.091926
2050.0 1.273417 -2.809339 -2.834271 -1.208835 2.940296
2060.0 0.952348 -2.669277 -2.882506 -0.901955 -2.285736
2070.0 1.194019 -2.949975 3.067285 -1.021394 -2.046767
2080.0 1.150958 -2.932799 -3.104831 -1.248948 -1.69484
