time phi1_2 psi1_2
3620.0 1.297024 -3.090951
3630.0 0.764427 -2.802232
3640.0 1.089985 -3.01607
3650.0 1.650888 -2.980182
3660.0 1.031881 2.921572
3670.0 1.435071 -2.649737
3680.0 0.805933 -2.859026
3690.0 1.254964 -2.832939
3700.0 1.190446 -2.946458
3710.0 1.175374 -2.900095
3720.0 1.017993 -2.781926
3730.0 1.344112 -2.996375
3740.0 1.798639 -2.791943
3750.0 0.969414 -3.03109
3760.0 1.173649 -3.0861
3770.0 0.953816 -3.053145
3780.0 1.483974 -3.02509
3790.0 1.219452 3.121071
3800.0 0.892 -3.082089
3810.0 1.339842 -2.876752
3820.0 1.241887 -3.125015
3830.0 1.480261 -3.045015
3840.0 1.098742 -3.015171
3850.0 1.525696 -2.508975
3860.0 1.253964 3.092051
3870.0 1.095396 2.955407
3880.0 1.157649 3.080404
3890.0 0.964881 -2.926875
3900.0 0.638508 -3.023118
3910.0 1.553388 -3.116555
3920.0 1.01424 -3.022432
3930.0 0.783372 -2.914113
3940.0 1.465544 3.14131
3950.0 1.008323 -2.998689
3960.0 1.222336 3.036715
3970.0 1.085383 -2.759254
3980.0 1.175747 2.650987
3990.0 1.265651 -2.76936
4000.0 0.974051 -2.854592
4010.0 1.053997 -2.881187
4020.0 1.179109 -2.875505
4030.0 1.148895 -2.841227
4040.0 1.541197 -2.903081
4050.0 1.11083 2.51839
4060.0 1.09769 2.837415
4070.0 0.924319 -3.111053
4080.0 0.992719 -3.105313
4090.0 1.487173 -3.059176
4100.0 1.248698 -2.800058
4110.0 1.14628 -3.01062
4120.0 1.119303 -2.870147
4130.0 1.034359 -2.898411
4140.0 1.022138 -2.925621
4150.0 1.225941 3.096746
4160.0 1.143107 -2.740364
4170.0 1.476462 -2.564188
4180.0 1.000427 -2.882333
4190.0 1.085421 -2.962577
4200.0 1.053531 -2.924849
4210.0 0.985938 -2.736747
4220.0 0.997363 -2.830005
4230.0 0.966433 -2.911116
4240.0 1.206568 -3.108113
4250.0 1.381179 -2.899116
4260.0 1.08808 -3.076062
4270.0 1.468465 -2.909421
4280.0 0.970247 -2.770154
4290.0 1.285113 -2.633963
4300.0 1.569133 -2.882257
4310.0 1.511514 -2.855793
4320.0 1.215595 -2.650085
4330.0 0.830715 -2.916362
4340.0 1.818699 -2.783461
4350.0 1.055872 3.018198
4360.0 1.15227 -2.939768
4370.0 1.088758 -2.897779
4380.0 1.333522 -2.635471
4390.0 1.251136 -2.772371
4400.0 1.12374 -2.887069
4410.0 1.203232 -2.741131
4420.0 1.28386 -2.909089
4430.0 0.90029 -2.818978
4440.0 1.147304 -3.040362
4450.0 1.04681 2.947209
4460.0 1.754648 -2.76278
4470.0 1.737686 -2.896622
4480.0 1.876781 -2.577439
4490.0 1.624956 -2.873776
4500.0 1.223497 3.122119
4510.0 0.977512 -2.84106
4520.0 0.968828 -3.012942
4530.0 1.105137 -2.962403
4540.0 1.187596 3.140473
4550.0 1.154305 3.123703
4560.0 1.226783 -2.944537
4570.0 1.363801 -2.833997
4580.0 0.893452 -3.128479
4590.0 1.511966 3.119531
4600.0 1.529153 -3.05847
4610.0 0.624874 -3.017477
4620.0 1.663183 -2.896996
4630.0 1.465825 -2.619512
4640.0 1.925169 -2.755438
4650.0 1.265174 -2.934846
4660.0 1.208206 -2.952317
4670.0 1.180189 -3.107713
4680.0 1.429896 -2.856536
4690.0 1.442415 -3.029255
4700.0 1.517431 -2.575195
4710.0 1.418236 -3.131471
4720.0 1.225251 -3.015682
4730.0 0.968373 -2.990333
4740.0 1.226439 -3.028898
4750.0 1.026431 -2.794899
4760.0 0.996716 3.036604
4770.0 1.087642 -2.721628
4780.0 1.217905 -3.017498
4790.0 1.050475 3.118059
4800.0 1.156822 -2.860731
4810.0 1.621867 -3.096895
4820.0 1.267656 -2.635159
4830.0 1.18547 -3.010193
4840.0 1.064173 -2.651555
4850.0 0.856484 -2.775018
4860.0 1.201201 -2.801541
4870.0 1.165967 -2.795531
4880.0 1.278281 -2.79031
4890.0 1.609082 -3.023383
4900.0 1.079781 -2.760879
4910.0 0.984796 -3.019636
4920.0 0.998619 -2.710033
4930.0 1.247024 -2.619726
4940.0 1.108405 -3.021437
4950.0 1.301983 -2.739532
4960.0 1.161106 -3.095736
4970.0 1.303119 -2.748443
4980.0 1.787707 -2.862066
4990.0 1.540649 -2.859935
5000.0 0.977254 -2.849624
5010.0 1.703565 -2.929559
5020.0 1.657916 -2.87669
5030.0 1.215028 -2.819799
5040.0 1.227268 -3.083627
5050.0 1.509007 -2.648875
5060.0 1.118216 -2.822949
5070.0 1.7742 -2.840833
5080.0 1.21983 -2.819546
5090.0 1.279598 -2.88501
5100.0 1.304636 -2.872845
5110.0 1.689829 -2.64588
5120.0 1.584168 -3.08807
5130.0 1.330135 -2.905977
5140.0 1.241194 -2.770668
5150.0 1.427088 -2.714478
5160.0 0.690595 -2.768382
5170.0 0.955202 -2.603987
5180.0 1.185355 -2.980727
5190.0 1.165933 -2.982813
5200.0 1.171063 -3.007094
5210.0 0.990711 -2.704537
5220.0 1.217887 -2.803944
5230.0 1.314666 -2.84268
5240.0 1.557383 -2.957466
5250.0 0.953507 -2.97372
5260.0 1.471195 -2.784343
5270.0 1.408382 -2.931339
5280.0 1.318453 -2.965181
5290.0 1.747551 -3.132322
5300.0 1.5738 -2.682927
5310.0 1.450007 -2.83161
5320.0 1.423038 -2.710122
5330.0 1.521028 -3.120206
5340.0 1.304206 -2.721809
5350.0 0.856366 -2.641728
5360.0 1.326678 -2.962377
5370.0 0.987749 -2.973656
5380.0 1.277735 -2.97198
5390.0 1.748685 -2.870213
5400.0 0.984737 -2.769572
5410.0 1.577123 -2.530128
5420.0 1.47035 3.088414
5430.0 1.206759 -2.787217
5440.0 1.212252 -2.757802
5450.0 1.685963 -3.068673
5460.0 1.56138 -2.838581
5470.0 1.136679 -2.847216
5480.0 1.116138 -2.870437
5490.0 1.306514 -2.77792
5500.0 1.258427 -2.820464
5510.0 1.405537 -2.833903
5520.0 1.659975 -2.951683
5530.0 1.529071 -2.971674
5540.0 0.925468 -2.864947
5550.0 1.666031 -2.156384
5560.0 0.91849 -2.820503
5570.0 1.050446 -2.717366
5580.0 0.927275 2.916055
5590.0 1.41386 -2.561201
5600.0 1.31304 -2.948467
5610.0 0.905563 -2.786181
5620.0 1.44641 -2.838707
5630.0 1.017235 -3.096186
5640.0 1.175966 -2.719324
5650.0 1.092928 2.924418
5660.0 1.12153 -2.948433
5670.0 1.698696 -2.686915
5680.0 1.072013 -2.710536
5690.0 1.51176 -2.769152
5700.0 1.118047 -2.736106
5710.0 1.468833 -2.665773
5720.0 1.311719 -2.846133
5730.0 1.454545 -2.909249
5740.0 1.05335 -2.790611
5750.0 1.52132 -2.705586
5760.0 1.32285 -3.025952
5770.0 1.698325 -2.704835
5780.0 1.458453 -2.881438
5790.0 1.476288 -2.795306
5800.0 1.322258 -2.683199
5810.0 0.992239 -2.864349
5820.0 0.747597 -2.778767
5830.0 1.236878 -3.042286
5840.0 1.298157 -2.719028
5850.0 1.350133 -2.905939
5860.0 1.276441 -2.976443
5870.0 0.943702 -3.009547
5880.0 0.806423 -2.908366
5890.0 1.206627 -2.838868
5900.0 0.901804 -3.121566
5910.0 1.136362 -2.94176
5920.0 1.008799 -3.077494
5930.0 1.024925 -3.099384
5940.0 1.099641 -2.73851
5950.0 1.515646 -3.001796
5960.0 1.462549 -2.795593
5970.0 1.070091 -3.054793
5980.0 1.64064 -2.80486
5990.0 0.802426 3.090526
6000.0 1.082602 -2.861543
6010.0 1.325975 -2.891685
6020.0 1.13459 -3.098031
6030.0 1.220982 -2.820368
6040.0 1.260019 -2.61447
6050.0 1.448151 -2.790146
6060.0 1.531168 -3.022777
6070.0 1.272346 -2.866755
6080.0 0.73187 -2.787557
6090.0 1.03648 3.031256
6100.0 0.935289 -3.036757
6110.0 1.655804 -2.903177
6120.0 1.362539 2.898666
6130.0 0.832296 -3.111864
6140.0 1.535232 -2.696722
6150.0 1.028227 -2.888875
6160.0 1.242243 -3.005343
6170.0 1.218197 -2.93626
6180.0 1.035945 -2.841105
6190.0 0.841694 -3.017123
6200.0 1.224443 -2.785337
6210.0 0.996821 -2.896542
6220.0 1.212286 -2.895171
6230.0 1.297429 -3.13671
6240.0 1.53565 -3.00033
6250.0 1.251641 3.115669
6260.0 1.404166 -2.794783
6270.0 1.333695 -3.033464
6280.0 1.122675 -3.025116
6290.0 1.044606 -3.118928
6300.0 1.285209 -2.882607
6310.0 1.139432 -2.80882
6320.0 1.044649 -3.045419
6330.0 0.860893 -2.998399
6340.0 1.211962 -3.111786
6350.0 1.281921 -3.040377
6360.0 1.150503 -3.003059
6370.0 1.019476 -2.594333
6380.0 1.021814 -2.92496
6390.0 0.873712 -2.853706
6400.0 0.921036 -3.028636
6410.0 1.049827 -2.687219
6420.0 0.932989 -2.992379
6430.0 1.078841 2.678863
6440.0 1.140237 -2.996943
6450.0 1.058898 -2.900908
6460.0 1.380647 2.964807
6470.0 1.79901 -2.858807
6480.0 1.362961 -2.753243
6490.0 1.331727 -3.047009
6500.0 1.008014 -2.988874
6510.0 0.818429 -2.751294
6520.0 1.381823 3.12279
6530.0 0.986068 3.049631
6540.0 1.569364 -2.881732
6550.0 0.796532 -2.729077
