time phi1_2 psi1_2 omega1_2
2790.0 1.090611 -2.489886 -2.860897
2800.0 1.374911 -2.906914 -3.013193
2810.0 1.185989 -3.077331 -0.942852
2820.0 0.948743 2.758745 -2.884059
2830.0 1.009431 2.42662 3.066925
2840.0 1.105588 -2.896667 -0.849721
2850.0 1.034333 -2.997637 -3.033721
2860.0 1.118051 1.898033 -3.019565
2870.0 1.10067 -3.021544 -3.024401
2880.0 1.227841 -2.932552 -1.228972
2890.0 0.833155 -2.672204 -2.874922
2900.0 1.150775 -2.886422 -3.038681
2910.0 1.256737 -3.051821 -2.973002
2920.0 1.180442 2.976271 -3.047791
2930.0 1.419708 -3.04501 -2.666172
2940.0 1.061596 -2.918385 3.110169
2950.0 1.10418 -2.70527 2.994506
2960.0 1.078964 -3.004165 -2.966032
2970.0 1.402234 -3.041551 -3.121088
2980.0 0.941648 2.771363 -0.559217
2990.0 1.100025 -2.899387 3.085099
3000.0 0.966374 -2.907105 -2.985147
3010.0 1.136812 -2.804702 -2.915081
3020.0 1.233859 -2.952215 -2.932099
3030.0 0.889652 -2.937738 -2.957793
3040.0 1.379291 -2.845862 -2.930766
3050.0 1.038697 -2.591359 3.137004
3060.0 1.216974 -2.982282 3.059941
3070.0 1.008275 -2.989731 -2.943804
3080.0 1.034274 -3.00282 -0.97596
3090.0 0.965788 2.927359 -2.996052
3100.0 0.941398 2.473753 3.0923
3110.0 1.347365 1.768442 -3.066634
3120.0 1.215104 -2.763214 -2.917038
3130.0 1.126731 -3.006443 -3.079816
3140.0 1.281514 -2.29754 -2.786291
3150.0 1.090644 -2.903077 -1.064919
3160.0 1.082641 -2.923771 -3.00973
3170.0 0.910042 -2.890018 -3.001773
3180.0 1.097051 -3.04255 -2.960139
3190.0 0.964738 2.971128 -2.87063
3200.0 1.023978 -3.128877 -1.010782
3210.0 1.057701 -2.952892 -3.049767
3220.0 1.055899 -2.967313 -2.729904
3230.0 1.214273 -2.923006 3.033643
3240.0 1.069668 -3.025176 -2.899676
3250.0 0.829155 -3.080156 -1.291535
3260.0 0.927316 -3.116818 -3.098198
3270.0 0.764933 2.810953 -2.94563
