time phi1_2 psi1_2 omega1_2
3400.0 -1.476454 -3.124268 -2.873484
3410.0 -1.262412 -2.731919 -2.908448
3420.0 -1.29993 -3.029189 -2.933824
3430.0 -1.200469 3.140687 1.17251
3440.0 -1.347041 2.776455 -3.082087
3450.0 -1.485119 1.437234 -2.929054
3460.0 -1.551729 -2.851332 -3.046073
3470.0 -1.185985 2.910896 3.026116
3480.0 -1.207591 3.138248 -2.82584
3490.0 -1.260724 -3.073052 -2.911615
3500.0 -1.53023 -2.818761 3.064391
3510.0 -1.325992 -2.855443 -3.041413
3520.0 -1.168446 2.709704 -2.837422
3530.0 -1.239672 -3.069804 3.01307
3540.0 -1.323642 3.032509 -2.958099
3550.0 -1.337237 3.075968 3.129755
3560.0 -1.269082 2.830721 -2.896725
3570.0 -1.33548 2.734461 -3.02048
3580.0 -1.420462 -3.054844 -3.108807
3590.0 -1.45969 -2.914382 2.95
3600.0 -1.177518 -2.719195 -2.978609
3610.0 -1.405582 -1.613219 -0.902916
3620.0 -1.161004 -2.711771 -3.0698
3630.0 -1.146057 -2.215133 -0.640074
3640.0 -0.932095 -3.072138 -2.959067
3650.0 -1.44873 -2.951309 -2.96635
3660.0 -1.053512 -2.00849 -0.835692
3670.0 -1.26481 -2.917659 -3.043749
3680.0 -1.425492 3.099951 -2.715387
3690.0 -1.264285 2.871997 -3.109852
3700.0 -1.410439 -2.991586 -3.078864
3710.0 -1.27617 -2.87055 -3.003476
3720.0 -1.093166 -1.377322 -3.031575
3730.0 -1.362264 -2.9147 3.127958
3740.0 -1.346299 -1.501153 -0.904962
3750.0 -1.059427 3.044986 -3.066162
3760.0 -1.113695 2.956839 -3.004289
3770.0 -1.101169 -2.921374 2.961441
3780.0 -1.22862 -2.962715 -2.889756
3790.0 -1.414069 -3.099866 -3.061512
3800.0 -1.148797 -3.032573 -3.019329
3810.0 -1.556699 -2.900652 -2.712008
3820.0 -1.118294 -3.101744 -3.129171
3830.0 -1.697021 -2.975914 -3.089541
3840.0 -1.25187 -2.865886 3.116793
3850.0 -1.562882 3.03185 -3.130429
3860.0 -1.286724 -2.954943 2.896801
3870.0 -1.065018 3.035132 1.281573
3880.0 -1.324117 -2.763585 -3.006951
3890.0 -1.169355 -2.915031 3.128753
3900.0 -1.111569 -3.093678 -3.025388
